,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_cls__init,param_cls__max_iter,param_cls__n_clusters,param_cls__n_init,param_cls__n_jobs,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,6.95076551437378,0.09884113290264127,0.1631601333618164,0.02214308229696332,k-means++,1,2,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 1, 'cls__n_clusters': 2, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.4933333333333334,0.4891666666666667,0.4866666666666667,0.4766666666666667,0.5066666666666667,0.4905,0.009769567259835242,7,0.49041666666666667,0.4822916666666667,0.468125,0.484375,0.5189583333333333,0.48883333333333334,0.016742328259700172
1,7.557505750656128,0.20539574525318047,0.17312068939208985,0.019961364646173176,k-means++,1,3,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 1, 'cls__n_clusters': 3, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.25,0.165,0.43416666666666665,0.38916666666666666,0.42333333333333334,0.3323333333333333,0.10645212799918823,16,0.22791666666666666,0.16083333333333333,0.42166666666666675,0.3943749999999999,0.4039583333333333,0.32175000000000004,0.10650334175769113
2,8.297452878952026,0.2226287032099665,0.193827486038208,0.030499144036453575,k-means++,1,4,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 1, 'cls__n_clusters': 4, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.325,0.3575,0.1675,0.25166666666666665,0.4000000000000001,0.30033333333333334,0.08224725594882248,19,0.3252083333333333,0.3460416666666667,0.19875,0.2525,0.38208333333333333,0.30091666666666667,0.06632733955332613
3,8.819449138641357,0.3612963147604243,0.1626720428466797,0.013226317123685664,k-means++,1,5,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 1, 'cls__n_clusters': 5, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.10916666666666666,0.26166666666666666,0.2225,0.125,0.18166666666666664,0.18,0.05748188120326845,42,0.11729166666666667,0.25979166666666664,0.21625,0.14145833333333332,0.165625,0.18008333333333332,0.051585218059267926
4,9.401154899597168,0.3833696584245252,0.17676115036010742,0.01797340371141969,k-means++,1,6,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 1, 'cls__n_clusters': 6, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.10749999999999998,0.21666666666666667,0.2358333333333333,0.11916666666666667,0.12583333333333332,0.161,0.05394029621308689,46,0.11833333333333333,0.21270833333333336,0.24541666666666667,0.13229166666666667,0.12666666666666668,0.16708333333333333,0.051842610370235034
5,9.828242588043214,0.5209909109034748,0.193060302734375,0.03640063679034942,k-means++,1,7,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 1, 'cls__n_clusters': 7, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.12583333333333332,0.21416666666666667,0.24333333333333335,0.10416666666666667,0.11666666666666667,0.16083333333333333,0.056634794958576484,47,0.12104166666666667,0.2035416666666667,0.23625,0.11520833333333333,0.11166666666666666,0.1575416666666667,0.05203821378991063
6,10.797290515899657,1.1077640896617762,0.21478829383850098,0.01963407806138574,k-means++,1,8,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 1, 'cls__n_clusters': 8, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.0475,0.05416666666666667,0.08833333333333333,0.08916666666666669,0.12416666666666666,0.08066666666666666,0.027660641914299657,104,0.058333333333333334,0.07,0.08645833333333333,0.09458333333333334,0.12645833333333334,0.08716666666666667,0.023346945434277074
7,11.377333879470825,0.3440674318314473,0.23212246894836425,0.029419741457862685,k-means++,1,9,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 1, 'cls__n_clusters': 9, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.1275,0.050833333333333335,0.07333333333333333,0.07,0.11,0.08633333333333333,0.02810990335569773,94,0.11708333333333333,0.06229166666666667,0.08583333333333333,0.08041666666666666,0.11729166666666667,0.09258333333333332,0.02154960363131226
8,12.093052911758424,0.4179596444727594,0.21857819557189942,0.01061822636434113,k-means++,1,10,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 1, 'cls__n_clusters': 10, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.115,0.050833333333333335,0.075,0.09083333333333332,0.1025,0.08683333333333333,0.022319647547993825,92,0.10854166666666666,0.058333333333333334,0.084375,0.09624999999999999,0.093125,0.088125,0.01678965041658435
9,13.047340059280396,0.17985620366505659,0.21563982963562012,0.01973865614721013,k-means++,1,11,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 1, 'cls__n_clusters': 11, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.09916666666666667,0.05000000000000001,0.10166666666666667,0.045,0.11916666666666667,0.083,0.02983566098927032,100,0.09624999999999999,0.05708333333333333,0.10770833333333334,0.056875,0.10645833333333334,0.084875,0.023121283485135508
10,13.57980899810791,0.14413924353692423,0.21429409980773925,0.026081437773104843,k-means++,1,12,20,4,"{'cls__init': 'k-means++', 'cls__max_iter': 1, 'cls__n_clusters': 12, 'cls__n_init': 20, 'cls__n_jobs': 4}",0.058333333333333334,0.04583333333333333,0.0875,0.03916666666666667,0.09333333333333334,0.06483333333333334,0.021854315617541333,129,0.060208333333333336,0.05458333333333333,0.09104166666666667,0.046875,0.0825,0.06704166666666667,0.01687340527444166
